Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
17-JAN-2025,13054.65,13075.95,12975.1,13043.55,1482065329,54917.1
20-JAN-2025,13098.3,13148.25,13014.15,13119.45,2911852418,57993.32
21-JAN-2025,13147.55,13151.45,12880.45,12893.9,1862192467,66181.85
22-JAN-2025,12928.35,12938.35,12771.3,12897.7,1580130992,60784.17
23-JAN-2025,12888.95,13006.2,12865.95,12976.35,1344372730,59392.7
24-JAN-2025,12970.45,13023.4,12844.8,12868.5,1247701198,53412.92
27-JAN-2025,12776.15,12779.1,12629.8,12654.75,1732538857,55449.95
28-JAN-2025,12723.2,12805.6,12610.9,12698.1,1867079672,70038.87
29-JAN-2025,12730.95,12872.15,12723.9,12862.5,1290580488,51529.54
30-JAN-2025,12881.1,12949.5,12839.9,12896.75,1495082487,66364.71
31-JAN-2025,12923.3,13086.65,12903.65,13064.55,1774994017,65921.75
01-FEB-2025,13091.85,13142.4,12945.9,13056.7,2326161348,66089.05
03-FEB-2025,12964.85,12975.3,12887.55,12963.85,1803259286,72043.58
04-FEB-2025,13056.55,13181.95,13013.4,13170.85,1656970755,70123.93
05-FEB-2025,13211.95,13245.4,13169.75,13182.15,1426827011,57233.7
06-FEB-2025,13230.15,13236.4,13075.9,13104.45,1145451463,55291.45
07-FEB-2025,13127.95,13167.05,13022.2,13092.85,1677888471,56914.19
10-FEB-2025,13087.8,13100.75,12904.3,12943.05,1075615098,45352.03
11-FEB-2025,12944.65,12949.65,12659.25,12712.75,1299440500,54511.31
12-FEB-2025,12699.3,12755.55,12496.15,12697.25,1897060037,62195.38
13-FEB-2025,12709.85,12829.8,12676.85,12700.8,1658152602,52459.15
14-FEB-2025,12739.45,12753.8,12476.85,12569.35,1500376676,48187.64
17-FEB-2025,12498.45,12595.65,12406.3,12585.5,1424504019,44722.4
18-FEB-2025,12593.1,12611.85,12483.25,12576.15,1245530728,43877.43
19-FEB-2025,12516.55,12674,12487.4,12624.75,1284212701,48489.69
20-FEB-2025,12570.8,12674.6,12565.55,12670.15,1124458905,46600.08
21-FEB-2025,12644.25,12699,12538.35,12580.35,1337590363,49814.03
24-FEB-2025,12471.25,12493,12422.7,12447,1065893108,42845.18
25-FEB-2025,12432.25,12492.95,12400.3,12418.65,1051057949,47173.08
27-FEB-2025,12430.75,12452.4,12356.9,12377.95,1432352776,60962.22
28-FEB-2025,12303.95,12312.9,12086.3,12116.15,2417927727,107540.96
03-MAR-2025,12150.65,12193.55,12007.05,12134.65,1765356615,59470.06
04-MAR-2025,12041.6,12152.45,12013.55,12131.4,1557208615,53457.29
05-MAR-2025,12121.6,12335.15,12121.6,12320.75,1616256941,63220.92
